,date,departamento,new_cases,new_deaths,median_age,population
97,2020-08-10,AMAZONAS,16,,31.3,79020
98,2020-08-11,AMAZONAS,11,1.0,31.3,79020
99,2020-08-12,AMAZONAS,14,,31.3,79020
100,2020-08-13,AMAZONAS,4,,31.3,79020
101,2020-08-14,AMAZONAS,6,1.0,31.3,79020
102,2020-08-15,AMAZONAS,5,,31.3,79020
103,2020-08-16,AMAZONAS,7,,31.3,79020
104,2020-08-17,AMAZONAS,1,,31.3,79020
105,2020-08-18,AMAZONAS,7,,31.3,79020
106,2020-08-19,AMAZONAS,4,,31.3,79020
107,2020-08-20,AMAZONAS,4,,31.3,79020
108,2020-08-21,AMAZONAS,1,,31.3,79020
109,2020-08-22,AMAZONAS,3,,31.3,79020
110,2020-08-23,AMAZONAS,6,,31.3,79020
111,2020-08-24,AMAZONAS,3,,31.3,79020
112,2020-08-25,AMAZONAS,1,,31.3,79020
113,2020-08-26,AMAZONAS,2,,31.3,79020
114,2020-08-28,AMAZONAS,3,,31.3,79020
115,2020-08-30,AMAZONAS,2,1.0,31.3,79020
116,2020-08-31,AMAZONAS,3,2.0,31.3,79020
117,2020-09-01,AMAZONAS,3,,31.3,79020
118,2020-09-03,AMAZONAS,1,,31.3,79020
119,2020-09-04,AMAZONAS,4,1.0,31.3,79020
120,2020-09-05,AMAZONAS,4,,31.3,79020
121,2020-09-06,AMAZONAS,2,,31.3,79020
122,2020-09-08,AMAZONAS,4,,31.3,79020
123,2020-09-09,AMAZONAS,2,,31.3,79020
124,2020-09-12,AMAZONAS,4,,31.3,79020
125,2020-09-16,AMAZONAS,3,,31.3,79020
126,2020-09-19,AMAZONAS,4,1.0,31.3,79020
127,2020-09-22,AMAZONAS,6,,31.3,79020
128,2020-09-23,AMAZONAS,1,,31.3,79020
129,2020-09-24,AMAZONAS,2,,31.3,79020
130,2020-09-26,AMAZONAS,1,,31.3,79020
131,2020-09-30,AMAZONAS,2,,31.3,79020
132,2020-10-03,AMAZONAS,2,,31.3,79020
133,2020-10-04,AMAZONAS,1,,31.3,79020
134,2020-10-07,AMAZONAS,1,,31.3,79020
135,2020-10-08,AMAZONAS,2,,31.3,79020
136,2020-10-12,AMAZONAS,4,,31.3,79020
137,2020-10-14,AMAZONAS,3,,31.3,79020
138,2020-10-17,AMAZONAS,13,,31.3,79020
139,2020-10-18,AMAZONAS,9,,31.3,79020
140,2020-10-20,AMAZONAS,11,,31.3,79020
141,2020-10-21,AMAZONAS,86,,31.3,79020
142,2020-10-23,AMAZONAS,2,,31.3,79020
143,2020-10-24,AMAZONAS,4,,31.3,79020
144,2020-10-27,AMAZONAS,5,,31.3,79020
145,2020-10-28,AMAZONAS,6,1.0,31.3,79020
146,2020-10-29,AMAZONAS,11,,31.3,79020
147,2020-10-30,AMAZONAS,2,,31.3,79020
148,2020-10-31,AMAZONAS,3,1.0,31.3,79020
149,2020-11-01,AMAZONAS,3,,31.3,79020
150,2020-11-02,AMAZONAS,13,1.0,31.3,79020
151,2020-11-03,AMAZONAS,15,,31.3,79020
152,2020-11-06,AMAZONAS,7,,31.3,79020
153,2020-11-08,AMAZONAS,10,,31.3,79020
154,2020-11-10,AMAZONAS,3,,31.3,79020
155,2020-11-11,AMAZONAS,1,,31.3,79020
156,2020-11-12,AMAZONAS,21,1.0,31.3,79020
157,2020-11-13,AMAZONAS,1,,31.3,79020
158,2020-11-14,AMAZONAS,14,,31.3,79020
159,2020-11-15,AMAZONAS,3,1.0,31.3,79020
160,2020-11-16,AMAZONAS,5,,31.3,79020
161,2020-11-17,AMAZONAS,12,,31.3,79020
162,2020-11-18,AMAZONAS,9,,31.3,79020
163,2020-11-19,AMAZONAS,23,,31.3,79020
164,2020-11-20,AMAZONAS,32,,31.3,79020
165,2020-11-21,AMAZONAS,28,1.0,31.3,79020
166,2020-11-22,AMAZONAS,24,,31.3,79020
167,2020-11-25,AMAZONAS,1,,31.3,79020
168,2020-11-26,AMAZONAS,9,,31.3,79020
169,2020-11-27,AMAZONAS,2,1.0,31.3,79020
170,2020-11-29,AMAZONAS,3,,31.3,79020
171,2020-11-30,AMAZONAS,2,,31.3,79020
172,2020-12-02,AMAZONAS,6,,31.3,79020
173,2020-12-03,AMAZONAS,2,,31.3,79020
174,2020-12-05,AMAZONAS,2,,31.3,79020
175,2020-12-06,AMAZONAS,1,,31.3,79020
176,2020-12-07,AMAZONAS,1,,31.3,79020
177,2020-12-08,AMAZONAS,2,1.0,31.3,79020
178,2020-12-09,AMAZONAS,4,,31.3,79020
179,2020-12-10,AMAZONAS,1,,31.3,79020
180,2020-12-11,AMAZONAS,1,,31.3,79020
181,2020-12-12,AMAZONAS,5,,31.3,79020
182,2020-12-13,AMAZONAS,9,1.0,31.3,79020
183,2020-12-15,AMAZONAS,1,,31.3,79020
184,2020-12-16,AMAZONAS,5,,31.3,79020
185,2020-12-18,AMAZONAS,3,,31.3,79020
186,2020-12-19,AMAZONAS,1,1.0,31.3,79020
187,2020-12-20,AMAZONAS,3,,31.3,79020
188,2020-12-21,AMAZONAS,1,,31.3,79020
189,2020-12-22,AMAZONAS,11,,31.3,79020
190,2020-12-23,AMAZONAS,3,,31.3,79020
191,2020-12-24,AMAZONAS,3,1.0,31.3,79020
192,2020-12-25,AMAZONAS,12,,31.3,79020
193,2020-12-26,AMAZONAS,4,,31.3,79020
194,2020-12-27,AMAZONAS,1,,31.3,79020
195,2020-12-28,AMAZONAS,1,,31.3,79020
196,2020-12-29,AMAZONAS,8,,31.3,79020
197,2020-12-30,AMAZONAS,5,1.0,31.3,79020
198,2021-01-01,AMAZONAS,4,,31.3,79020
199,2021-01-02,AMAZONAS,10,,31.3,79020
200,2021-01-03,AMAZONAS,8,,31.3,79020
201,2021-01-04,AMAZONAS,7,1.0,31.3,79020
202,2021-01-05,AMAZONAS,11,1.0,31.3,79020
203,2021-01-06,AMAZONAS,3,,31.3,79020
204,2021-01-07,AMAZONAS,5,,31.3,79020
205,2021-01-08,AMAZONAS,9,1.0,31.3,79020
206,2021-01-09,AMAZONAS,23,,31.3,79020
207,2021-01-10,AMAZONAS,8,,31.3,79020
208,2021-01-11,AMAZONAS,4,,31.3,79020
209,2021-01-12,AMAZONAS,3,,31.3,79020
210,2021-01-13,AMAZONAS,22,1.0,31.3,79020
211,2021-01-14,AMAZONAS,13,1.0,31.3,79020
212,2021-01-15,AMAZONAS,13,,31.3,79020
213,2021-01-16,AMAZONAS,13,1.0,31.3,79020
214,2021-01-17,AMAZONAS,52,1.0,31.3,79020
215,2021-01-18,AMAZONAS,19,,31.3,79020
216,2021-01-19,AMAZONAS,7,1.0,31.3,79020
217,2021-01-20,AMAZONAS,7,1.0,31.3,79020
218,2021-01-21,AMAZONAS,11,1.0,31.3,79020
219,2021-01-22,AMAZONAS,3,1.0,31.3,79020
220,2021-01-23,AMAZONAS,6,,31.3,79020
221,2021-01-24,AMAZONAS,15,,31.3,79020
222,2021-01-25,AMAZONAS,20,,31.3,79020
223,2021-01-26,AMAZONAS,18,1.0,31.3,79020
224,2021-01-27,AMAZONAS,49,,31.3,79020
225,2021-01-28,AMAZONAS,43,1.0,31.3,79020
226,2021-01-29,AMAZONAS,31,3.0,31.3,79020
227,2021-01-30,AMAZONAS,11,,31.3,79020
228,2021-01-31,AMAZONAS,3,,31.3,79020
229,2021-02-01,AMAZONAS,92,3.0,31.3,79020
230,2021-02-02,AMAZONAS,28,,31.3,79020
231,2021-02-03,AMAZONAS,68,2.0,31.3,79020
232,2021-02-04,AMAZONAS,27,,31.3,79020
233,2021-02-05,AMAZONAS,104,1.0,31.3,79020
234,2021-02-06,AMAZONAS,34,1.0,31.3,79020
235,2021-02-07,AMAZONAS,31,1.0,31.3,79020
236,2021-02-08,AMAZONAS,40,1.0,31.3,79020
237,2021-02-09,AMAZONAS,36,1.0,31.3,79020
238,2021-02-10,AMAZONAS,32,,31.3,79020
239,2021-02-11,AMAZONAS,68,1.0,31.3,79020
240,2021-02-12,AMAZONAS,36,2.0,31.3,79020
241,2021-02-13,AMAZONAS,74,1.0,31.3,79020
242,2021-02-14,AMAZONAS,35,1.0,31.3,79020
243,2021-02-15,AMAZONAS,33,1.0,31.3,79020
244,2021-02-16,AMAZONAS,15,,31.3,79020
245,2021-02-17,AMAZONAS,48,3.0,31.3,79020
246,2021-02-18,AMAZONAS,35,2.0,31.3,79020
247,2021-02-19,AMAZONAS,80,2.0,31.3,79020
248,2021-02-20,AMAZONAS,79,2.0,31.3,79020
249,2021-02-21,AMAZONAS,69,3.0,31.3,79020
250,2021-02-22,AMAZONAS,21,5.0,31.3,79020
251,2021-02-23,AMAZONAS,14,2.0,31.3,79020
252,2021-02-24,AMAZONAS,93,3.0,31.3,79020
253,2021-02-25,AMAZONAS,64,3.0,31.3,79020
254,2021-02-26,AMAZONAS,65,1.0,31.3,79020
255,2021-02-27,AMAZONAS,11,1.0,31.3,79020
256,2021-02-28,AMAZONAS,66,1.0,31.3,79020
257,2021-03-01,AMAZONAS,71,,31.3,79020
258,2021-03-02,AMAZONAS,70,4.0,31.3,79020
259,2021-03-03,AMAZONAS,50,3.0,31.3,79020
260,2021-03-04,AMAZONAS,32,2.0,31.3,79020
261,2021-03-05,AMAZONAS,40,,31.3,79020
262,2021-03-06,AMAZONAS,22,5.0,31.3,79020
263,2021-03-07,AMAZONAS,21,6.0,31.3,79020
264,2021-03-08,AMAZONAS,12,2.0,31.3,79020
265,2021-03-09,AMAZONAS,44,1.0,31.3,79020
266,2021-03-10,AMAZONAS,6,1.0,31.3,79020
267,2021-03-11,AMAZONAS,63,1.0,31.3,79020
268,2021-03-12,AMAZONAS,58,,31.3,79020
269,2021-03-13,AMAZONAS,48,,31.3,79020
270,2021-03-14,AMAZONAS,8,2.0,31.3,79020
271,2021-03-15,AMAZONAS,23,,31.3,79020
272,2021-03-16,AMAZONAS,15,1.0,31.3,79020
